k,FinalSpeed,EstimatedSpeed,PercentError
94,4.56941667940945,3.1908655,30.169084140626367
95,4.56941667940945,3.1547787,30.95883040904716
96,4.56941667940945,3.4231837,25.08488676451587
97,4.56941667940945,3.3531103,26.618416557955875
98,4.56941667940945,3.0222108,33.86002966135467
99,4.56941667940945,3.0413482,33.44121509814006
6,4.980591879973085,5.078204,1.9598529120138257
7,4.980591879973085,4.0487013,18.710438761390805
8,4.980591879973085,8.075085,62.13102540581852
9,4.980591879973085,6.340717,27.3085005083961
10,4.980591879973085,7.329395,47.15911269148001
11,4.980591879973085,8.23706,65.38314705771869
12,4.980591879973085,4.6625223,6.386180029587166
13,4.980591879973085,4.9691496,0.22973756353175984
14,4.980591879973085,3.8409588,22.881478220712708
15,4.980591879973085,4.152298,16.630431207801525
16,4.980591879973085,4.1594753,16.486324782737196
17,4.980591879973085,4.1323843,17.03025664784514
18,4.980591879973085,4.644034,6.757389066194873
19,4.980591879973085,3.8151326,23.40001530157383
20,4.980591879973085,3.8135242,23.432308084708428
21,4.980591879973085,4.2678246,14.31089411337485
22,4.980591879973085,3.9880757,19.927674676159857
23,4.980591879973085,4.1572313,16.531379581857095
24,4.980591879973085,4.3272815,13.117123840901352
25,4.980591879973085,4.3508005,12.644910101634284
26,4.980591879973085,4.202511,15.622260666679146
27,4.980591879973085,4.389673,11.864426180288673
28,4.980591879973085,4.8877974,1.8631224271628344
29,4.980591879973085,4.582945,7.983930817076238
30,4.980591879973085,4.8230577,3.1629619982868578
31,4.980591879973085,3.991518,19.858560652605554
32,4.980591879973085,4.73709,4.889012692916978
33,4.980591879973085,4.790543,3.815787464157601
34,4.980591879973085,4.0803084,18.075832437620605
35,4.980591879973085,4.229291,15.084570987934606
36,4.980591879973085,3.7711086,24.283926123661534
37,4.980591879973085,4.582604,7.990776159483957
38,4.980591879973085,4.0099373,19.48873983229032
39,4.980591879973085,5.431047,9.044207869675649
40,4.980591879973085,4.6099005,7.442717941120453
41,4.980591879973085,4.0503507,18.677322622386185
42,4.980591879973085,3.989042,19.908273156734342
43,4.980591879973085,4.492973,9.790383169804299
44,4.980591879973085,5.014255,0.6758868761513397
45,4.980591879973085,5.062531,1.6451682132734984
46,4.980591879973085,5.095884,2.3148246049523125
47,4.980591879973085,4.0533967,18.61616451427358
48,4.980591879973085,4.4442806,10.768022526397703
49,4.980591879973085,4.4827976,9.994680738529233
50,4.980591879973085,4.5945024,7.7518784964072776
51,4.980591879973085,4.6664023,6.3082771608156785
52,4.980591879973085,4.040785,18.869384739926414
53,4.980591879973085,4.2832646,14.000891054407075
54,4.980591879973085,4.543172,8.782490271940418
55,4.980591879973085,4.7794857,4.0377967579934175
56,4.980591879973085,4.869931,2.22183751713827
57,4.980591879973085,4.5417376,8.811288579580166
58,4.980591879973085,4.8009987,3.605860439019046
59,4.980591879973085,5.2998405,6.409852041832133
60,4.980591879973085,4.441674,10.820353493671261
61,4.980591879973085,4.5564966,8.514957057616899
62,4.980591879973085,3.9466739,20.758938592093646
63,4.980591879973085,4.5870113,7.9022845512678
64,4.980591879973085,4.421271,11.230011334627783
65,4.980591879973085,5.08958,2.188257574700491
66,4.980591879973085,4.5822654,7.997573632364349
